Scanner

TOKEN(HASH, "#")
TOKEN(ID, "x")
TOKEN(COMMA, ",")
TOKEN(ID, "p")
TOKEN(DOT, ".")
TOKEN(ID, "y")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(ID, "p")
TOKEN(DOT, ".")
TOKEN(ID, "energy")
TOKEN(ASSIGN, "=")
TOKEN(ID, "p")
TOKEN(DOT, ".")
TOKEN(ID, "energy")
TOKEN(MINUS, "-")
TOKEN(NUM, "20")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(RBRACE, "}")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""T=%d Pos(%d,%d) E=%d\n"")
TOKEN(COMMA, ",")
TOKEN(ID, "time")
TOKEN(COMMA, ",")
TOKEN(ID, "p")
TOKEN(DOT, ".")
TOKEN(ID, "x")
TOKEN(COMMA, ",")
TOKEN(ID, "p")
TOKEN(DOT, ".")
TOKEN(ID, "y")
TOKEN(COMMA, ",")
TOKEN(ID, "p")
TOKEN(DOT, ".")
TOKEN(ID, "energy")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(ID, "time")
TOKEN(ASSIGN, "=")
TOKEN(ID, "time")
TOKEN(PLUS, "+")
TOKEN(NUM, "1")
TOKEN(SEMICOL, ";")
TOKEN(ID, "p")
TOKEN(DOT, ".")
TOKEN(ID, "energy")
TOKEN(ASSIGN, "=")
TOKEN(ID, "p")
TOKEN(DOT, ".")
TOKEN(ID, "energy")
TOKEN(MINUS, "-")
TOKEN(NUM, "10")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""Simulacion terminada.\n"")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(RETURN, "return")
TOKEN(NUM, "0")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(END)

Scanner exitoso

